# event No.,GOES start,end,peak,AR location,X-ray class,event loc. (EW),event loc. (NS),SOT,XRT,EIS,RHESSI,NoRH
110640,2014/08/26 06:09,2014/08/26 06:30,2014/08/26 06:14,N09W49,C1.0,720,80,0,0,0,6-12,
110650,2014/08/26 09:23,2014/08/26 09:33,2014/08/26 09:28,N07W50,C1.9,737,85,0,0,0,12-25,
110660,2014/08/26 22:54,2014/08/26 23:38,2014/08/26 23:25,N09W58,C5.6,815,66,0,0,9,12-25,
110670,2014/08/27 02:30,2014/08/27 02:39,2014/08/27 02:35,S11E40,C1.4,-600,-273,0,0,0,no,
110680,2014/08/27 03:34,2014/08/27 04:28,2014/08/27 03:42,N12E13,C4.3,-105,59,0,0,0,6-12,
110690,2014/08/27 05:09,2014/08/27 05:28,2014/08/27 05:20,N10W61,C1.8,841,102,22,0,6,12-25,
110700,2014/08/27 18:40,2014/08/27 18:56,2014/08/27 18:46,N06W48,B8.1,707,21,0,59,0,6-12,
110710,2014/08/27 22:18,2014/08/27 22:25,2014/08/27 22:22,N09W72,B5.1,896,116,8,26,1,12-25,
110720,2014/08/27 22:46,2014/08/27 22:53,2014/08/27 22:49,S05E21,B6.9,-337,-201,0,0,0,no,
110730,2014/08/28 04:59,2014/08/28 06:10,2014/08/28 05:15,N11W70,C1.6,893,78,0,144,0,3-6,
110740,2014/08/28 07:59,2014/08/28 08:09,2014/08/28 08:05,S06E16,C1.1,-269,-210,0,0,0,25-50,
110750,2014/08/28 13:53,2014/08/28 13:59,2014/08/28 13:57,N08W79,B7.7,923,116,0,14,0,12-25,
110760,2014/08/28 15:08,2014/08/28 15:55,2014/08/28 15:20,N08W77,C1.9,919,108,0,46,0,12-25,
110770,2014/08/28 16:22,2014/08/28 16:26,2014/08/28 16:23,S16E61,B8.4,-779,-361,0,9,0,no,
110780,2014/08/28 18:45,2014/08/28 18:55,2014/08/28 18:50,S06E10,B6.4,-177,-216,0,10,0,12-25,
110790,2014/08/28 19:35,2014/08/28 19:44,2014/08/28 19:39,S06E11,B5.8,-174,-212,0,20,0,no,
110800,2014/08/28 23:48,2014/08/28 23:57,2014/08/28 23:52,S06E08,B7.1,-134,-218,0,14,0,6-12,
110810,2014/08/29 02:20,2014/08/29 02:31,2014/08/29 02:26,N08W89,C1.4,947,134,0,0,0,12-25,
110820,2014/08/29 15:43,2014/08/29 16:02,2014/08/29 15:52,N06W89,C4.3,954,111,0,9,0,25-50,
110830,2014/08/29 17:59,2014/08/29 18:16,2014/08/29 18:08,N09W76,C1.9,918,122,0,36,0,6-12,
110840,2014/08/29 22:35,2014/08/29 22:57,2014/08/29 22:44,N07W36,C1.5,560,31,0,36,0,12-25,
110850,2014/08/29 23:00,2014/08/29 23:37,2014/08/29 23:18,N08W35,C1.5,557,26,0,71,0,12-25,
110860,2014/08/29 23:46,2014/08/30 00:33,2014/08/30 00:12,N07W36,C3.0,556,25,0,55,0,no,
110870,2014/08/30 04:16,2014/08/30 04:39,2014/08/30 04:28,N08W38,C2.0,577,27,0,14,0,12-25,
110880,2014/08/30 04:49,2014/08/30 05:08,2014/08/30 04:56,N07W37,C3.3,581,32,0,33,0,no,
110890,2014/08/30 06:34,2014/08/30 06:45,2014/08/30 06:41,S16E39,B8.7,-591,-353,0,24,0,no,
110900,2014/08/30 07:18,2014/08/30 07:26,2014/08/30 07:22,N03W89,C1.7,959,59,0,15,0,12-25,
110910,2014/08/30 08:01,2014/08/30 09:31,2014/08/30 08:03,S14E39,C1.0,-548,-348,0,144,0,6-12,
110920,2014/08/30 08:31,2014/08/30 08:39,2014/08/30 08:35,N08W39,C1.3,592,132,0,17,0,12-25,
110930,2014/08/30 10:14,2014/08/30 10:21,2014/08/30 10:19,N05W41,C2.0,612,41,0,16,0,12-25,
110940,2014/08/30 11:49,2014/08/30 11:55,2014/08/30 11:53,S15E37,C1.0,-521,-353,0,14,0,12-25,
110950,2014/08/30 14:22,2014/08/30 14:29,2014/08/30 14:25,S14E35,C2.8,-528,-229,0,32,0,no,
110960,2014/08/30 18:29,2014/08/30 18:44,2014/08/30 18:33,S15E33,B9.8,-509,-340,0,0,0,12-25,
110970,2014/08/31 01:51,2014/08/31 02:09,2014/08/31 01:57,N09W49,C1.3,711,54,0,7,2,6-12,
110980,2014/08/31 03:51,2014/08/31 04:02,2014/08/31 03:55,N10W50,B8.9,721,53,0,36,4,6-12,
110990,2014/08/31 05:37,2014/08/31 06:01,2014/08/31 05:55,N08W52,C3.4,739,61,0,74,5,12-25,
111000,2014/08/31 07:21,2014/08/31 07:41,2014/08/31 07:28,N08W52,C1.8,757,68,0,67,7,12-25,
111010,2014/08/31 09:51,2014/08/31 12:06,2014/08/31 11:18,N08W53,C3.6,759,66,0,188,0,12-25,
111020,2014/08/31 12:07,2014/08/31 12:14,2014/08/31 12:11,N08W54,C7.1,767,72,0,16,0,12-25,
111030,2014/08/31 15:30,2014/08/31 15:38,2014/08/31 15:35,N07W58,C2.1,786,72,0,0,0,no,
111040,2014/08/31 15:58,2014/08/31 16:20,2014/08/31 16:11,S15E22,C1.2,-344,-246,0,0,0,12-25,
111050,2014/08/31 17:25,2014/08/31 17:41,2014/08/31 17:33,N07W60,C2.2,824,60,0,34,0,12-25,
111060,2014/08/31 22:28,2014/08/31 23:03,2014/08/31 22:55,S14E16,C1.0,-258,-348,0,70,0,12-25,
111070,2014/09/01 05:43,2014/09/01 05:55,2014/09/01 05:49,S14E13,B8.3,-207,-341,0,0,0,no,
111080,2014/09/01 06:40,2014/09/01 08:22,2014/09/01 07:44,N05W74,C2.1,909,64,0,0,0,no,
111090,2014/09/01 10:20,2014/09/01 10:36,2014/09/01 10:26,N07W69,C1.4,884,84,0,0,0,no,
111100,2014/09/01 15:27,2014/09/01 17:11,2014/09/01 16:04,S13E05,C1.7,-63,-335,0,139,0,no,
111110,2014/09/01 18:03,2014/09/01 20:00,2014/09/01 18:26,S12W47,C1.6,682,-282,0,0,0,no,
111120,2014/09/02 00:09,2014/09/02 00:24,2014/09/02 00:16,N07W80,C2.3,930,95,0,0,5,no,
111130,2014/09/02 00:50,2014/09/02 01:05,2014/09/02 00:59,S13W01,C2.6,18,-331,0,0,0,no,
111140,2014/09/02 12:04,2014/09/02 12:16,2014/09/02 12:09,S14W05,C2.2,83,-350,14,44,5,no,
111150,2014/09/02 13:10,2014/09/02 13:23,2014/09/02 13:15,S13W07,C3.7,130,-320,16,35,0,no,
111160,2014/09/02 20:56,2014/09/02 21:04,2014/09/02 21:00,S20E87,C2.9,-901,-338,0,18,0,no,
111170,2014/09/03 01:31,2014/09/03 01:40,2014/09/03 01:37,N07W89,C2.4,947,130,0,20,0,no,
111180,2014/09/03 02:44,2014/09/03 03:00,2014/09/03 02:53,S21E86,C4.0,-897,-351,0,32,0,no,
111190,2014/09/03 08:40,2014/09/03 09:20,2014/09/03 09:20,S12E88,C1.3,-948,-213,0,0,0,no,
111200,2014/09/03 12:44,2014/09/03 12:55,2014/09/03 12:50,S21E86,C1.6,-894,-349,0,0,0,no,
111210,2014/09/03 13:20,2014/09/03 14:23,2014/09/03 13:54,S14W18,M2.5,285,-230,0,0,0,no,
111220,2014/09/03 21:13,2014/09/03 21:24,2014/09/03 21:24,S13E88,C5.2,-944,-221,0,24,0,no,
111230,2014/09/04 02:24,2014/09/04 02:31,2014/09/04 02:28,N13W82,C2.4,918,200,0,0,0,no,
111240,2014/09/04 06:38,2014/09/04 06:49,2014/09/04 06:43,S82E13,C1.6,-29,-942,0,23,0,no,
111250,2014/09/04 10:00,2014/09/04 10:24,2014/09/04 10:11,S13E87,C3.1,-950,-234,0,0,0,no,
111260,2014/09/04 11:10,2014/09/04 11:26,2014/09/04 11:22,S09W60,C2.2,815,-220,0,33,0,no,
111270,2014/09/04 11:44,2014/09/04 11:49,2014/09/04 11:47,S10W60,C1.8,815,-226,0,12,0,no,
111280,2014/09/04 13:10,2014/09/04 13:45,2014/09/04 13:30,S15W30,C6.3,466,-350,39,105,10,no,
111290,2014/09/04 14:45,2014/09/04 14:53,2014/09/04 14:49,S14E85,C1.5,-916,-251,0,0,0,no,
111300,2014/09/04 16:21,2014/09/04 16:48,2014/09/04 16:32,S19E87,C5.7,-909,-324,0,0,0,no,
111310,2014/09/04 19:16,2014/09/04 19:42,2014/09/04 19:31,S15E87,C3.9,-916,-262,54,28,8,no,
111320,2014/09/05 01:44,2014/09/05 01:52,2014/09/05 01:50,S13E73,C3.8,-888,-255,0,0,0,no,
111330,2014/09/05 06:04,2014/09/05 06:11,2014/09/05 06:08,S13E70,C2.1,-872,-256,0,0,0,no,
